trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074854909,2019-11-18T11:00:54.909Z,11/18/2019 11:00:54,75,2.6,22.8,12.26.01,132,greenpeak,gpd,48,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075005297,2019-11-18T11:03:25.297Z,11/18/2019 11:03:25,75,2.6,22.8,12.26.01,124,greenpeak,gpd,48,-70,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075005965,2019-11-18T11:03:25.965Z,11/18/2019 11:03:25,75,2.6,23.2,12.26.01,108,greenpeak,gpd,48,-73,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075245762,2019-11-18T11:07:25.762Z,11/18/2019 11:07:25,75,2.6,23.2,12.26.01,124,greenpeak,gpd,47,-70,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075246459,2019-11-18T11:07:26.459Z,11/18/2019 11:07:26,75,2.6,23.5,12.26.01,128,greenpeak,gpd,47,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075546188,2019-11-18T11:12:26.188Z,11/18/2019 11:12:26,75,2.6,23.5,12.26.01,132,greenpeak,gpd,49,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075546886,2019-11-18T11:12:26.886Z,11/18/2019 11:12:26,75,2.6,23.9,12.26.01,136,greenpeak,gpd,49,-68,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075846588,2019-11-18T11:17:26.588Z,11/18/2019 11:17:26,75,2.6,23.9,12.26.01,132,greenpeak,gpd,48,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574075847355,2019-11-18T11:17:27.355Z,11/18/2019 11:17:27,75,2.6,24.2,12.26.01,80,greenpeak,gpd,48,-77,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574076147150,2019-11-18T11:22:27.150Z,11/18/2019 11:22:27,75,2.6,24.2,12.26.01,128,greenpeak,gpd,47,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574076148017,2019-11-18T11:22:28.017Z,11/18/2019 11:22:28,75,2.6,24.5,12.26.01,132,greenpeak,gpd,47,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574076447541,2019-11-18T11:27:27.541Z,11/18/2019 11:27:27,75,2.6,24.5,12.26.01,128,greenpeak,gpd,46,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574076448300,2019-11-18T11:27:28.300Z,11/18/2019 11:27:28,75,2.6,24.9,12.26.01,104,greenpeak,gpd,46,-73,
