trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryLevelOrig,batteryVoltage,degC,lqi,manufacturer,model,rssi,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574141156359,2019-11-19T05:25:56.359Z,11/19/2019 05:25:56,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574142053634,2019-11-19T05:40:53.634Z,11/19/2019 05:40:53,100,60,2.9,25.0,80,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574142953512,2019-11-19T05:55:53.512Z,11/19/2019 05:55:53,100,60,2.9,25.0,84,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574143853587,2019-11-19T06:10:53.587Z,11/19/2019 06:10:53,100,60,2.9,25.0,80,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574145654113,2019-11-19T06:40:54.113Z,11/19/2019 06:40:54,100,60,2.9,25.0,80,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574146553963,2019-11-19T06:55:53.963Z,11/19/2019 06:55:53,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574147454000,2019-11-19T07:10:54Z,11/19/2019 07:10:54,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574148353825,2019-11-19T07:25:53.825Z,11/19/2019 07:25:53,100,60,2.9,25.0,84,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574149253323,2019-11-19T07:40:53.323Z,11/19/2019 07:40:53,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574150153373,2019-11-19T07:55:53.373Z,11/19/2019 07:55:53,100,60,2.9,25.0,80,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574151053831,2019-11-19T08:10:53.831Z,11/19/2019 08:10:53,100,60,2.9,25.0,80,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574151953779,2019-11-19T08:25:53.779Z,11/19/2019 08:25:53,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574153753105,2019-11-19T08:55:53.105Z,11/19/2019 08:55:53,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574154653091,2019-11-19T09:10:53.091Z,11/19/2019 09:10:53,100,60,2.9,24.0,84,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574155553629,2019-11-19T09:25:53.629Z,11/19/2019 09:25:53,100,60,2.9,24.0,80,greenpeak,gpd,-77,
