trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050567440,2019-11-18T04:16:07.440Z,11/18/2019 04:16:07,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050579528,2019-11-18T04:16:19.528Z,11/18/2019 04:16:19,0,100,0,3.0,13.26.01,192,greenpeak,gpd,0,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574051479547,2019-11-18T04:31:19.547Z,11/18/2019 04:31:19,0,100,0,3.0,13.26.01,188,greenpeak,gpd,0,0,-60,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574052379503,2019-11-18T04:46:19.503Z,11/18/2019 04:46:19,0,100,0,3.0,13.26.01,184,greenpeak,gpd,0,0,-60,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574052708545,2019-11-18T04:51:48.545Z,11/18/2019 04:51:48,0,100,0,3.0,13.26.01,192,greenpeak,gpd,1,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574052716464,2019-11-18T04:51:56.464Z,11/18/2019 04:51:56,0,100,0,3.0,13.26.01,192,greenpeak,gpd,0,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574052738749,2019-11-18T04:52:18.749Z,11/18/2019 04:52:18,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574052750652,2019-11-18T04:52:30.652Z,11/18/2019 04:52:30,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574053126115,2019-11-18T04:58:46.115Z,11/18/2019 04:58:46,0,100,0,3.0,13.26.01,176,greenpeak,gpd,1,0,-62,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574053138009,2019-11-18T04:58:58.009Z,11/18/2019 04:58:58,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
