timestamp_ms,timestamp_iso,timestamp_excel,doorStatus,lqi,rssi
1.57421E+12,2019-11-19T23:52:06.902Z,11/19/2019 23:52,0,72,-79
1.57421E+12,2019-11-20T00:07:06.833Z,11/20/2019 0:07,0,68,-79
1.57421E+12,2019-11-20T00:22:06.786Z,11/20/2019 0:22,0,68,-79
1.57421E+12,2019-11-20T00:37:06.777Z,11/20/2019 0:37,0,60,-81
1.57421E+12,2019-11-20T00:51:46.422Z,11/20/2019 0:51,0,68,-79
1.57421E+12,2019-11-20T00:52:06.661Z,11/20/2019 0:52,0,64,-80
1.57421E+12,2019-11-20T01:07:06.749Z,11/20/2019 1:07,0,68,-79
1.57421E+12,2019-11-20T01:22:06.718Z,11/20/2019 1:22,0,76,-78
1.57421E+12,2019-11-20T01:37:06.673Z,11/20/2019 1:37,0,68,-79
1.57421E+12,2019-11-20T01:52:06.663Z,11/20/2019 1:52,0,64,-80
1.57422E+12,2019-11-20T02:07:06.672Z,11/20/2019 2:07,0,80,-77
1.57422E+12,2019-11-20T02:22:06.673Z,11/20/2019 2:22,0,64,-80
1.57422E+12,2019-11-20T02:37:06.622Z,11/20/2019 2:37,0,76,-78
1.57422E+12,2019-11-20T02:52:06.699Z,11/20/2019 2:52,0,72,-79
1.57422E+12,2019-11-20T03:07:06.542Z,11/20/2019 3:07,0,36,-84
1.57422E+12,2019-11-20T03:22:06.609Z,11/20/2019 3:22,0,56,-81
1.57422E+12,2019-11-20T03:37:06.573Z,11/20/2019 3:37,0,8,-89
1.57422E+12,2019-11-20T03:52:06.563Z,11/20/2019 3:52,0,28,-86
1.57422E+12,2019-11-20T04:07:06.575Z,11/20/2019 4:07,0,56,-81
1.57422E+12,2019-11-20T04:22:06.545Z,11/20/2019 4:22,0,52,-82
1.57422E+12,2019-11-20T04:37:06.506Z,11/20/2019 4:37,0,64,-80
1.57423E+12,2019-11-20T04:52:06.416Z,11/20/2019 4:52,0,56,-81
1.57423E+12,2019-11-20T05:07:06.470Z,11/20/2019 5:07,0,60,-81
1.57423E+12,2019-11-20T05:22:06.664Z,11/20/2019 5:22,0,8,-89
1.57423E+12,2019-11-20T05:37:06.487Z,11/20/2019 5:37,0,68,-79
1.57423E+12,2019-11-20T06:07:06.499Z,11/20/2019 6:07,0,68,-79
1.57423E+12,2019-11-20T06:22:06.552Z,11/20/2019 6:22,0,12,-88
1.57423E+12,2019-11-20T06:37:06.460Z,11/20/2019 6:37,0,20,-87
1.57423E+12,2019-11-20T06:51:45.886Z,11/20/2019 6:51,0,4,-90
1.57423E+12,2019-11-20T06:52:06.203Z,11/20/2019 6:52,0,8,-89
1.57423E+12,2019-11-20T07:07:06.379Z,11/20/2019 7:07,0,64,-80
1.57423E+12,2019-11-20T07:25:39.098Z,11/20/2019 7:25,0,32,-85
1.57424E+12,2019-11-20T07:37:06.907Z,11/20/2019 7:37,0,8,-89
1.57424E+12,2019-11-20T07:52:06.941Z,11/20/2019 7:52,0,72,-79
1.57424E+12,2019-11-20T08:07:06.963Z,11/20/2019 8:07,0,24,-86
1.57424E+12,2019-11-20T08:22:06.256Z,11/20/2019 8:22,0,64,-80
1.57424E+12,2019-11-20T08:37:06.240Z,11/20/2019 8:37,0,16,-88
1.57424E+12,2019-11-20T08:52:06.161Z,11/20/2019 8:52,0,72,-79
1.57424E+12,2019-11-20T09:07:06.139Z,11/20/2019 9:07,0,20,-87
1.57424E+12,2019-11-20T09:22:06.196Z,11/20/2019 9:22,0,68,-79
1.57424E+12,2019-11-20T09:37:06.145Z,11/20/2019 9:37,0,68,-79
1.57424E+12,2019-11-20T09:52:06.173Z,11/20/2019 9:52,0,28,-86
1.57424E+12,2019-11-20T10:07:06.796Z,11/20/2019 10:07,0,16,-88
1.57425E+12,2019-11-20T10:22:06.071Z,11/20/2019 10:22,0,16,-88
1.57425E+12,2019-11-20T10:52:06.152Z,11/20/2019 10:52,0,72,-79
1.57425E+12,2019-11-20T11:02:13.693Z,11/20/2019 11:02,1,152,-65
1.57425E+12,2019-11-20T11:02:50.909Z,11/20/2019 11:02,0,4,-90
1.57425E+12,2019-11-20T11:07:06.206Z,11/20/2019 11:07,0,68,-79
1.57425E+12,2019-11-20T11:36:46.677Z,11/20/2019 11:36,1,96,-75
1.57425E+12,2019-11-20T11:36:50.129Z,11/20/2019 11:36,0,88,-76
1.57425E+12,2019-11-20T11:37:05.890Z,11/20/2019 11:37,0,68,-79
1.57425E+12,2019-11-20T11:52:06.590Z,11/20/2019 11:52,0,52,-82
1.57425E+12,2019-11-20T12:07:06.038Z,11/20/2019 12:07,0,84,-77
1.57425E+12,2019-11-20T12:22:06.068Z,11/20/2019 12:22,0,44,-83
1.57425E+12,2019-11-20T12:37:06.026Z,11/20/2019 12:37,0,40,-84
1.57425E+12,2019-11-20T12:51:45.541Z,11/20/2019 12:51,0,36,-84
1.57425E+12,2019-11-20T12:52:05.749Z,11/20/2019 12:52,0,36,-84
1.57426E+12,2019-11-20T13:07:06.016Z,11/20/2019 13:07,0,28,-86
